City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,Solnechnyy,RU,50.7214,136.6319,26.44,78,78,2.8,broken clouds
90,Matara,LK,5.9485,80.5353,73.96,87,5,9.08,clear sky
91,Lagoa,PT,39.05,-27.9833,58.51,88,100,17.05,overcast clouds
92,Atherton,GB,53.5237,-2.4935,44.01,83,100,8.99,overcast clouds
93,Severo-Kurilsk,RU,50.6789,156.125,24.03,67,89,31.59,overcast clouds
94,Kaitangata,NZ,-46.2817,169.8464,63.68,60,1,1.79,clear sky
95,Deputatskiy,RU,69.3,139.9,-19.82,79,10,1.43,clear sky
96,Wageningen,NL,51.9667,5.6667,46.0,76,90,14.97,overcast clouds
97,West Wendover,US,40.7391,-114.0733,50.0,25,1,16.11,clear sky
98,Kaeo,NZ,-35.1,173.7833,68.0,84,36,14.0,scattered clouds
99,San Policarpo,PH,12.1791,125.5072,79.12,85,73,5.3,broken clouds
100,Sayyan,YE,15.1718,44.3244,56.53,54,0,1.16,clear sky
101,Parintins,BR,-2.6283,-56.7358,76.5,89,95,2.08,light rain
102,Grand Gaube,MU,-20.0064,57.6608,75.0,77,99,1.99,overcast clouds
103,Kendari,ID,-3.945,122.4989,76.44,90,70,2.66,broken clouds
104,Aktau,KZ,43.65,51.2,19.4,63,0,11.18,clear sky
105,Waingapu,ID,-9.6567,120.2641,79.12,81,100,4.07,light rain
106,Buckeye,US,33.3703,-112.5838,57.0,52,49,4.0,scattered clouds
107,Vila,PT,42.0304,-8.1588,39.0,88,18,1.99,few clouds
108,Tuensang,IN,26.2833,94.8333,58.73,58,0,3.76,clear sky
109,Kavieng,PG,-2.5744,150.7967,83.91,60,78,4.74,broken clouds
110,Lokosovo,RU,61.1333,74.8167,-9.2,95,25,10.29,scattered clouds
111,Castro,BR,-24.7911,-50.0119,65.43,71,6,2.62,clear sky
112,Yongan,CN,39.6957,113.6871,37.96,85,0,1.48,clear sky
113,Saskylakh,RU,71.9167,114.0833,-21.32,91,49,11.79,scattered clouds
114,Airai,TL,-8.9266,125.4092,64.15,84,30,1.12,scattered clouds
115,Hilo,US,19.7297,-155.09,82.4,61,90,16.11,light rain
116,Manali,IN,13.1667,80.2667,73.4,88,20,2.3,mist
117,Tekeli,KZ,44.83,78.8239,37.85,61,100,1.66,overcast clouds
118,Cidreira,BR,-30.1811,-50.2056,72.12,75,13,5.39,few clouds
119,Tasiilaq,GL,65.6145,-37.6368,15.8,86,90,2.3,overcast clouds
120,Pochutla,MX,15.7432,-96.4661,87.01,54,20,9.22,few clouds
121,Bilibino,RU,68.0546,166.4372,5.27,95,100,1.68,light snow
